Start Loc X,Start Loc Y,Goal Loc X,Goal Loc Y,Obstacle 1 Loc X,Obstacle 1 Loc Y,Obstacle 1 Radius,Obstacle 2 Loc X,Obstacle 2 Loc Y,Obstacle 2 Radius,Obstacle 3 Loc X,Obstacle 3 Loc Y,Obstacle 3 Radius,Obstacle 4 Loc X,Obstacle 4 Loc Y,Obstacle 4 Radius,Mean X,Mean Y,SXX,SYY,SXY
0,291,600,473,524,316,58,241,71,63,259,210,37,125,180,39,441,431.556,38833.5,7236.03,11262.9
0,573,600,443,93,432,67,401,284,23,577,238,10,145,186,42,400.714,445.714,58548.9,5421.9,-16230.8
0,216,600,491,447,124,70,315,577,20,84,90,32,307,322,68,383.125,481.25,37798.1,9892.6,9020.17
0,112,600,298,453,107,59,291,462,62,507,412,12,543,536,38,431.1,210,35083.9,11228.9,14597.8
0,319,600,80,289,90,47,102,305,35,61,324,57,469,469,49,345.4,203.8,53486.9,12224.8,-17804.7
0,71,600,269,115,441,18,229,363,50,523,562,11,301,504,58,384.455,207.455,70192.3,3910.87,15390
0,328,600,540,208,76,67,174,206,66,405,142,42,56,268,34,487.667,472.667,57302.7,7931.87,17399.9
0,282,600,463,246,86,72,286,75,55,391,173,65,175,78,17,454.25,449.25,61077.9,6320.21,11427.4
0,594,600,561,373,514,43,83,355,52,377,407,17,322,119,69,440.014,514.027,42166.7,5500.81,5815.16
0,427,600,250,273,145,11,236,229,12,306,503,59,506,185,61,492.923,298.692,26053.6,5110.56,-5849.53
0,24,600,67,588,17,11,441,433,32,323,336,10,279,172,33,439.887,184.027,33831.1,27080.7,-10953.9
0,280,600,398,102,205,17,447,480,43,182,269,39,228,270,33,446.125,314.875,45484.7,10692.1,6957.73
0,257,600,84,212,395,29,337,320,52,185,327,48,20,363,11,275.4,137.2,74959.3,7161.2,-18133.1
0,563,600,312,189,219,26,265,471,23,241,318,60,410,312,45,333.706,249.118,63154.7,21170.6,-10609.4
0,485,600,490,105,505,17,258,494,21,237,155,10,243,103,51,443.875,463.375,39903,4732.55,3549.48
0,64,600,114,287,198,38,319,243,12,186,260,32,416,565,34,454.8,94.4,47258.6,2593.38,7317.2
0,444,600,233,161,134,21,187,161,18,45,287,12,123,160,37,459.571,324.286,45012,14398.9,-17230
0,386,600,133,490,446,25,326,383,37,199,206,17,547,393,44,428.122,221.177,46321,8845.58,-15710.8
0,223,600,529,367,407,34,388,463,17,121,495,62,312,66,23,306.833,272.333,55435.8,17826.3,19350.5
0,508,600,128,63,222,23,264,539,26,237,391,14,409,343,28,425.214,248.143,45139,27855.1,-33386.4
0,416,600,194,203,187,37,228,420,56,112,69,49,155,294,46,359.643,363.929,53688.9,35392.4,-35029
0,337,600,378,443,154,42,457,521,12,302,250,67,303,456,52,400.333,290.917,57150.1,10297.2,7698.12
0,314,600,177,409,374,65,55,65,25,403,373,32,431,69,21,416,137.9,55700.7,7831.66,-570.444
0,15,600,594,333,328,66,202,438,46,465,96,45,256,147,47,356.526,380.579,48594.4,41815.3,39307.7
0,255,600,154,78,227,27,401,302,49,164,81,32,461,219,40,402.273,182.727,55884.2,3513.02,-2617.82
0,27,600,55,138,580,18,393,436,12,339,346,63,490,537,32,387.4,49.2,76424.8,308.7,4502.9
0,531,600,174,364,331,17,449,204,70,92,442,28,532,481,52,421.375,321.875,62413.7,36577.3,-40576.9
0,373,600,525,57,198,18,238,66,27,168,493,47,269,212,31,385.25,367.583,65185.3,27469.7,9748.75
0,176,600,529,450,363,49,435,450,70,134,184,36,312,355,74,481.467,439.267,27124.6,20267.6,18562.4
0,118,600,54,357,178,33,276,228,29,437,106,67,176,114,25,365.571,258.714,43109.5,25853.3,-20868.3
0,482,600,588,244,351,47,66,405,23,457,149,41,141,128,53,410.333,535.111,43772.8,3547.36,6865.83
0,558,600,79,288,302,69,295,101,51,133,409,43,208,49,19,525.667,147.917,27972.2,24055,-20931.6
0,506,600,330,487,351,33,349,401,62,262,381,12,433,328,70,428.818,221.273,46721.4,26472,2479.65
0,359,600,101,61,483,38,282,265,68,88,231,10,484,435,43,465,125,41296.8,9910.5,-18889.3
0,537,600,36,186,325,11,306,547,30,507,431,33,283,531,37,452.303,184.56,42501.9,29995.2,-20547.2
0,438,600,48,139,543,41,455,518,52,523,314,55,448,346,51,423.665,155.23,44792,29156.1,-32862.7
0,495,600,7,352,365,74,521,68,10,235,148,31,400,111,69,485.511,122.643,34215.7,21580.3,-26786.9
0,408,600,50,341,126,15,127,498,64,62,445,25,422,260,30,482.929,135.5,29049,11869.7,-16453.7
0,117,600,195,270,271,50,435,228,14,517,113,48,208,241,56,385.583,244.167,58910.8,6466.33,-366.47
0,381,600,568,142,67,25,184,227,72,492,456,12,82,423,23,445.4,522.5,38882.9,4318.06,7419.89
0,167,600,59,438,282,62,152,384,18,387,131,12,206,154,52,470.111,111.333,33501.6,13731.5,-2509.42
0,419,600,366,276,188,61,280,280,69,68,304,46,137,502,26,292.413,377.946,61720.5,1702.78,6682.41
0,434,600,229,253,154,73,172,272,45,168,80,44,298,189,37,513.727,278.273,31171.6,22515.2,-12739.7
0,372,600,49,142,69,34,453,445,60,124,433,42,313,359,16,322.576,96.6536,69917.9,9458.08,-16519.6
0,195,600,294,388,167,61,531,306,51,75,518,70,189,331,19,466.455,353.091,33121.7,6233.89,5605.65
0,14,600,135,222,94,15,181,497,28,336,549,17,461,359,42,489.444,99.4444,34269.8,2885.53,6413.03
0,405,600,191,200,50,46,164,336,25,468,98,47,374,490,74,285.2,398.9,40922,25240.1,-26833.6
0,437,600,134,309,315,33,504,14,12,501,444,24,423,365,65,473.429,174.429,48342.6,14447.3,-22079.2
0,401,600,184,417,53,47,287,173,49,423,506,34,246,472,25,461.266,324.695,27114.9,28299.6,-15004.6
0,195,600,420,432,36,24,405,145,70,287,351,66,462,449,56,430.289,318.974,51583.3,16011.4,24801.9
0,130,600,4,163,550,45,478,361,74,86,377,43,192,483,12,459.692,109.462,35489.7,9211.27,-7121.43
0,431,600,569,357,135,65,142,236,26,458,83,65,257,117,69,462.5,526.875,38654.9,4223.27,10128.9
0,136,600,591,502,444,34,516,190,56,519,442,45,518,190,53,391.917,459.75,44729.9,30268.8,32696.3
0,248,600,124,359,225,12,392,120,50,249,432,34,165,242,49,393.444,234.222,48188.8,35733.2,-22197.5
0,83,600,225,490,144,56,254,291,51,349,436,11,371,250,13,464.737,164.789,24004.6,19327.5,-442.169
0,423,600,195,527,292,19,462,261,66,445,379,71,75,394,41,378.752,280.387,42331.8,22000.4,-25833.8
0,593,600,31,459,315,43,515,102,27,547,168,37,74,128,53,461.025,106.2,38125.3,29716.8,-29520.5
0,567,600,17,53,553,43,291,398,69,321,119,46,127,116,40,450.875,130.313,46921.1,32351.6,-35646.4
0,499,600,407,364,156,67,431,381,38,121,438,24,232,509,56,346.569,449.877,58794.7,1502.26,-6902.21
0,346,600,58,347,288,41,342,336,33,414,249,21,147,376,54,496.071,101.429,28197,6735.19,-12746.7
0,262,600,308,67,269,60,216,374,72,511,230,63,408,517,13,379.444,251.778,55741,11471.9,15996.2
0,12,600,438,106,392,69,220,254,32,548,263,36,352,421,71,416.736,323.955,35323.2,29192.5,29856.2
0,410,600,107,220,493,48,194,431,44,303,282,63,72,362,44,375.91,283.468,51524,18847.8,-24815.9
0,236,600,461,288,96,27,217,419,71,189,99,43,254,286,50,460.5,441.3,42184.5,8052.9,6967.94
0,321,600,437,492,236,33,202,119,67,157,488,72,205,340,73,337.721,255.712,56757.4,24006.8,26264.7
0,421,600,183,189,193,51,413,174,56,278,144,32,88,159,70,413.125,294.5,48520.1,13709.1,-22855.1
0,300,600,148,420,110,11,385,300,60,453,181,31,47,176,14,434.587,154.816,35531.2,6851.37,-10754.4
0,89,600,14,61,174,29,264,459,39,559,227,13,198,276,52,504.429,36.2857,49515.6,1133.24,-5179.98
0,484,600,325,372,103,57,278,124,63,517,94,36,396,360,59,427.1,393.5,42021.4,5035.17,-3461.5
0,253,600,554,539,279,58,501,413,48,481,368,38,193,237,14,394,481.929,53418.9,12449.5,25072.4
0,404,600,145,519,262,41,441,397,34,191,126,64,519,329,17,490.273,158.455,30308,8445.07,-10996.3
0,351,600,87,308,513,56,269,155,56,140,308,22,338,136,11,482.909,199.909,32306.5,15096.1,-15353.2
0,367,600,312,290,330,74,220,149,64,248,184,34,233,48,36,347.714,377.286,68151.9,5878.9,-14108.2
0,402,600,258,452,274,70,398,248,16,211,168,44,432,115,39,420.222,396.889,53108.4,14283.9,754.153
0,378,600,287,64,320,45,164,224,71,274,282,72,322,103,33,407.216,299.575,51853,6656.67,-12048.1
0,292,600,473,414,415,41,90,408,67,572,442,16,271,49,36,504.571,408.071,24916.9,12519.9,10140.8
0,475,600,140,224,102,62,360,461,21,166,413,15,100,67,11,333.5,286.5,88121.7,26228.3,-48031.3
0,70,600,460,400,113,68,527,163,70,68,453,52,356,334,45,389.727,406.818,42108.8,31511.4,19383.3
0,551,600,357,386,53,10,190,308,41,319,441,72,186,281,58,469.8,370.2,69190.2,16185.7,-25421.5
0,367,600,529,378,501,47,333,113,56,281,505,27,140,512,43,454.308,506.538,32284.4,6094.1,9378.24
0,193,600,425,83,575,17,186,250,73,476,542,57,192,58,27,422.301,354.293,40587,24629.3,26583.8
0,62,600,473,98,100,25,331,123,36,529,193,21,155,146,37,376.857,307.857,62520.5,24130.5,34070.1
0,180,600,486,232,433,37,333,225,73,431,455,30,73,91,20,439.9,281.3,59243.2,44025.3,30756.5
0,68,600,136,129,169,68,100,339,60,558,578,18,417,223,68,484.667,112,36145,1861,3864
0,275,600,387,342,60,31,101,337,15,158,373,45,465,285,36,402.365,369.156,63969.6,5952.66,15389.4
0,241,600,105,461,358,62,229,447,22,222,120,21,367,168,25,457.214,179.571,40462.6,24122.6,-12106.1
0,561,600,11,61,539,39,389,280,48,145,493,60,279,160,54,409,316.6,47877.6,42170.9,-24343.7
0,573,600,593,187,179,15,49,377,14,468,445,70,126,371,58,416.863,560.54,47147.9,688.87,1752.2
0,121,600,55,477,437,41,537,515,58,288,355,68,50,556,32,443.333,71.7778,45911.3,1127.19,254.208
0,460,600,388,191,417,72,53,313,21,205,26,19,116,48,36,367,450.917,52719.5,7034.45,-12451.2
0,74,600,66,267,464,16,111,318,21,107,524,28,155,153,56,410.5,74.9,48533.8,2195.43,1875.5
0,257,600,184,37,443,11,65,309,34,453,213,34,253,420,51,365.4,186,91375.3,2707,-622.5
0,220,600,336,200,471,64,452,280,23,107,347,70,428,363,47,347,332.125,40985.1,14199.6,17495
0,589,600,465,137,510,44,470,553,42,260,344,24,355,396,44,437.407,461.317,43014.7,3862.02,-4605.47
0,316,600,300,326,563,29,162,530,49,422,175,15,491,492,53,471,244.5,54036,7069.9,-6180
0,416,600,505,291,144,68,449,197,64,430,285,67,499,387,70,312,419.636,35551.6,5031.05,8583.7
0,360,600,32,103,393,71,409,291,56,135,281,56,367,482,51,375.594,165.118,49424.9,11028,-20795.7
0,46,600,540,312,403,21,345,350,49,563,503,30,329,284,29,451.833,331.833,28995.6,39353.4,24572.2
0,58,600,518,527,225,65,352,231,25,192,459,70,525,420,37,411.041,382.212,55565,41151.7,42205.7
0,542,600,211,321,510,44,229,124,40,80,366,49,82,439,31,308.329,287.237,55451,33958,-30973.1
0,314,600,248,427,62,50,256,310,54,232,202,62,439,501,25,381.862,189.776,43089.8,5125.02,6770.92
0,95,600,203,513,427,29,580,144,12,115,130,29,293,270,70,478.857,150,36624.4,3690.46,8804.54
0,148,600,240,219,464,51,405,488,54,136,372,58,127,494,17,418,168,50082.4,5614.22,9149.11
0,206,600,424,459,225,37,484,257,16,141,222,27,410,167,10,429.444,394.667,49105.8,12839.5,16137.4
0,449,600,64,199,378,64,436,136,60,495,345,63,325,252,57,428.945,289.161,29660.7,28609.3,-21381.3
0,518,600,212,219,406,19,369,230,51,297,387,11,492,282,38,451.533,199.267,22430.1,12275.2,-9676.87
0,590,600,326,106,174,60,524,477,48,296,146,70,437,166,45,438.714,283.143,39573.6,26024.4,-21015.4
0,158,600,306,471,252,35,252,250,46,549,553,21,358,385,72,517.727,273.273,30338,8962.02,8886.88
0,94,600,362,447,519,54,311,214,62,476,573,16,353,368,42,416.727,257.057,44700,19078.1,24401.7
0,304,600,274,202,85,72,220,122,49,402,435,14,334,451,19,466.615,342.538,44684.6,6699.27,-7560.11
0,282,600,254,248,113,66,198,420,51,481,356,61,447,176,68,415.5,332.75,44161.7,7792.75,-838.682
0,364,600,304,88,346,73,313,406,14,464,175,53,370,116,32,436.538,300.385,40448.6,12472.1,8118.11
0,588,600,242,407,253,33,228,509,19,331,460,65,315,513,45,395,208.857,57680.9,22667.2,-18219.5
0,275,600,307,331,451,48,451,284,63,425,289,66,498,302,20,472,358.769,27578.3,2214.03,1687.33
0,539,600,397,355,577,15,543,448,32,64,103,54,358,507,74,482.833,398.5,56278.2,12791.9,-14757.7
0,101,600,569,556,165,25,238,306,49,316,202,68,307,491,13,367.667,460.533,56150.1,31710.3,36549.1
0,224,600,422,414,246,11,487,94,18,116,356,53,178,523,39,428.111,329.889,51003.4,16729.9,21720.3
0,262,600,474,260,558,14,347,102,66,96,465,74,85,300,56,447.154,398.846,49489.5,18241.3,21129.2
0,237,600,107,350,269,53,313,390,30,490,201,70,440,195,33,371.667,77.5,64975.5,7589.9,-11359
0,566,600,403,468,237,32,521,389,46,445,288,63,238,413,63,395.719,377.259,49223.9,15939.5,6853.23
0,538,600,498,210,403,68,92,340,38,439,449,43,79,491,27,428.111,472.778,41956.6,9714.44,4248.78
0,560,600,50,121,98,63,95,387,14,552,484,15,456,310,68,418.778,144,49742.4,27828.8,-33222.5
0,143,600,409,229,498,14,130,269,69,145,337,59,272,388,64,451.6,279.9,38908.3,32101.7,14819.6
0,250,600,375,161,353,66,494,396,16,24,421,12,137,274,23,381.6,348.1,66837.8,15731,-13928.8
0,589,600,440,104,350,22,100,320,49,541,534,52,326,212,15,465.75,377.125,38409.6,9760.7,-13748.5
0,318,600,46,440,318,57,547,169,47,494,268,50,489,307,63,395.625,147.625,46614.8,9344.27,-19540.7
0,374,600,538,335,140,60,221,50,16,92,67,48,311,304,57,469.727,522.091,45131.6,3061.69,8726.33
0,447,600,539,526,392,20,485,380,56,282,172,49,340,432,53,318.462,559,59254.4,1489,1621.42
0,276,600,370,518,401,46,269,339,49,87,147,64,76,76,72,372.167,401.25,54460,8057.66,-8768.86
0,520,600,518,120,464,46,517,336,71,534,174,12,97,353,35,383.833,538.667,77683.8,1261.87,-3712.27
0,514,600,574,434,346,46,329,407,38,184,154,11,468,168,14,503.077,455.846,28235.6,21614.5,5393.43
0,488,600,148,564,366,11,311,559,37,130,94,33,168,314,64,476.462,193.308,30062.3,14525.1,-18932.2
0,422,600,263,205,51,39,100,105,67,86,240,68,221,371,53,384.958,261.709,41239.8,8107.73,-6203.4
0,596,600,335,113,19,11,386,91,68,340,109,65,115,274,49,461.5,342.5,37611.8,9975.61,-13457.2
0,466,600,116,288,424,45,333,92,57,44,77,29,364,459,67,340.688,181.813,49112.9,8864.16,-13770
0,267,600,251,473,151,19,55,479,34,287,240,15,458,204,62,399.25,309.063,53343.9,8933.53,-2628.68
0,0,600,176,160,250,57,148,273,57,233,289,58,442,234,21,385.25,142,70679.6,6990,21469.1
0,82,600,571,433,69,32,273,266,44,88,104,30,352,142,57,359.389,426.333,64651.8,24616.8,34274.5
0,459,600,218,317,203,69,416,341,74,176,462,56,431,237,40,472.688,313.813,30958.6,12776.8,-16569.4
0,66,600,565,204,206,37,518,488,64,323,291,34,253,402,42,457.455,406.364,50681.7,41689.5,38021.4
0,42,600,377,420,315,36,209,158,50,311,176,34,323,160,56,297.182,352,59312.4,27704.6,23062.7
0,265,600,543,224,392,44,336,547,46,184,499,60,87,451,70,431.462,420.154,42422.1,29792.5,31080.1
0,273,600,55,210,79,74,248,196,21,142,442,12,257,585,11,458.875,167.75,44871,31268.5,-22385.2
0,210,600,313,32,280,10,325,502,58,376,302,72,476,261,28,505.222,274.889,37490.2,8477.61,7826.65
0,372,600,406,312,360,60,226,167,10,459,105,48,53,470,14,472.25,427.083,30728.6,2524.81,-1672.48
0,523,600,540,262,188,52,531,130,26,372,178,35,479,465,37,457.538,529,31420.1,1553,1123.75
0,448,600,510,514,64,42,290,65,58,97,200,50,461,396,27,423.375,537.625,36823.1,2037.41,4028.02
0,16,600,577,459,255,59,264,206,19,171,164,32,295,256,63,289.3,432.6,57205.8,36035.6,35286.7
0,416,600,595,323,441,51,106,226,43,500,201,26,284,477,26,475.778,500.444,36523.7,10050,11899.1
0,520,600,536,158,545,17,225,430,67,511,179,46,251,372,56,445.214,456.357,44247.4,12165.5,10249.3
0,177,600,71,207,305,65,210,345,61,130,120,71,55,277,45,404.571,122.571,51125.9,3133.29,-11211
0,419,600,525,293,178,41,521,363,70,201,146,59,551,367,33,401,475.2,28868.7,3826.84,7451.78
0,563,600,116,544,386,15,478,252,14,294,262,37,524,38,14,419.222,167.333,53526.7,23313.5,-28861.1
0,109,600,177,483,558,24,403,189,70,395,87,25,164,514,29,490.182,212,31453,13100,1989.1
0,239,600,171,414,172,37,550,134,10,381,268,59,204,422,58,441.625,197.375,47850.3,2059.13,-2691.55
0,115,600,199,110,141,12,536,164,47,319,320,67,124,226,36,424.598,189.9,44102.3,6859.13,9435.89
0,258,600,530,265,370,31,317,180,41,202,346,46,333,71,36,346.8,433.9,58800.6,13566.3,24207.1
0,61,600,320,473,253,55,454,401,29,347,468,51,353,486,43,504.688,365.25,24859.6,14859.7,9532.48
0,345,600,408,199,126,10,395,529,50,441,255,42,38,435,29,490.237,375.745,30001.8,3247.78,956.943
0,317,600,543,221,328,26,151,173,60,284,294,33,245,181,41,498.5,497.25,41136.3,6813.93,15519.1
0,460,600,491,376,518,54,150,527,42,306,366,48,521,558,22,447.214,366.357,45497.3,18891.3,4299.84
0,433,600,23,327,98,30,349,566,31,386,125,41,181,125,72,423.4,210.7,59695.4,48111.6,-40392
0,77,600,502,373,316,63,323,184,62,88,219,25,446,156,69,408.778,493.222,51310.2,25574.4,20437.9
0,125,600,288,398,225,73,516,75,25,355,279,24,115,435,32,437.182,295.545,50440.8,9812.47,11164.8
0,470,600,70,499,76,30,65,186,22,199,201,65,218,148,26,413.429,242.429,46797,25818,-31862
0,261,600,515,284,185,72,377,476,45,192,265,15,97,432,19,497.375,516.625,42596.6,11424.6,19654.4
0,280,600,503,162,166,73,27,514,22,446,107,35,36,479,13,478.125,439.125,43446.7,6875.27,14889.6
0,60,600,234,521,250,50,363,464,38,386,520,26,363,325,72,494.481,177.827,35778.8,5309.67,10290.2
0,570,600,495,481,331,72,533,141,64,332,94,42,538,489,16,423.909,479.364,53453.5,10120.1,2557.14
0,339,600,455,370,502,64,368,528,15,324,176,40,104,465,56,427.857,408.714,65495.1,7337.57,17982.1
0,382,600,68,106,27,12,317,154,72,530,215,51,211,99,41,455.5,141.5,36762.5,14787.2,-19564.4
0,314,600,47,277,515,57,66,120,29,561,375,30,191,525,48,445.727,124.364,30880.6,17398.9,-10019.2
0,229,600,172,380,315,62,317,478,39,144,398,29,447,237,67,445.38,167.237,49662,4944.79,-9802.69
0,539,600,224,523,421,48,545,104,25,481,466,37,580,98,17,469.429,206.429,45175.6,25410.6,-28827.2
0,544,600,101,511,141,69,82,403,14,262,278,34,93,222,47,429.8,177.467,32790.7,34189,-22764.8
0,150,600,435,153,413,61,373,323,10,338,420,73,123,182,61,321.241,335.202,54015,15270.6,6864.31
0,286,600,276,79,42,31,418,272,70,508,376,10,503,390,22,353,236.308,37183.7,8940.9,-9618.92
0,292,600,291,285,557,29,96,482,67,277,284,45,477,324,74,514.509,336.668,29833,3183.78,1208.27
0,372,600,56,373,437,45,520,405,10,414,369,24,83,408,33,416.125,140.625,44908.1,11132.8,-21121.7
0,74,600,504,48,419,26,209,213,29,511,497,63,79,72,61,398.713,423.943,56077.2,39355.1,45154.9
0,270,600,328,197,452,45,49,523,39,516,558,39,161,173,63,441.8,368,64143.2,8789.5,10487.8
0,413,600,549,461,330,63,206,411,54,361,23,22,509,399,37,387.105,431.105,37515.7,20890.7,21149.2
0,224,600,22,575,13,11,194,153,57,109,326,23,352,264,20,465.188,162.438,37070.4,28786.8,-20500.7
0,291,600,109,197,97,15,110,514,72,486,497,73,94,467,73,441.091,149.182,28791.3,11573.8,-5647.92
0,181,600,307,495,106,53,409,294,71,246,337,51,94,474,68,383.3,336,40954.7,8266,2908.89
0,489,600,516,480,350,14,516,80,15,246,47,31,215,172,65,390.8,527.6,54069.1,2732.27,-2903.31
0,12,600,589,163,497,46,165,84,74,73,300,72,316,390,41,411.909,403.455,48033.1,45081.9,45080.8
0,424,600,351,13,204,10,469,270,33,290,163,55,382,144,64,445.182,303.727,31196.4,8737.82,-8801.54
0,157,600,292,384,116,26,351,537,30,50,561,24,287,408,18,414.6,319.8,45003.4,8613.96,-553.089
0,129,600,196,308,339,47,435,279,69,192,446,50,108,321,64,441.235,130,36997.9,5104.88,8588.25
0,302,600,447,179,551,47,152,79,42,81,346,65,175,188,14,357.222,423.889,59531.9,4929.11,643.777
0,260,600,372,344,475,55,169,80,25,246,243,50,548,373,18,366.267,501.733,54268.5,9344.92,5985.65
0,542,600,26,526,467,36,383,307,30,492,355,59,56,281,31,379.44,279.979,45801,49628,-39035.1
0,115,600,414,494,380,42,480,438,72,295,89,44,438,391,26,508.5,395.625,42335.4,18188,23073.4
0,250,600,447,111,303,17,512,182,44,256,430,26,195,352,71,434.3,491.1,45833.3,10889,7384.19
0,443,600,330,510,256,63,265,455,73,282,300,74,302,77,63,413.077,437.154,56182.4,7478.97,-11934.5
0,569,600,532,213,516,24,171,476,32,51,462,45,270,88,52,329.3,469.1,50772.9,15069.7,-420.033
0,285,600,426,495,380,33,28,369,25,179,260,59,120,425,64,376.889,333.5,40515.4,19338.5,20743
0,585,600,541,151,209,67,132,544,31,209,438,62,118,430,32,295,552.429,75015.3,1390.95,-7599.17
0,331,600,120,472,370,51,561,191,18,561,370,28,280,82,28,388.643,153.714,34741.2,10591.6,-12285.5
0,506,600,483,541,295,27,370,490,52,372,156,25,435,277,64,445.889,461.366,40046,1107.03,-1735.49
